year,month,day,TAVG,TMAX,TMIN,,,0,,,
1884,2,25,0.4,6.7,-9.2,,,,,,
1884,2,26,0.9,8.1,-9.2,,,,,,
1884,2,27,3.3,11.4,-2.4,,,,,,
1884,2,28,4.5,11.4,-2.7,,,,,,
1884,2,29,6.9,14.1,-2.7,,,,,,
1884,3,1,7.2,14.1,0.6,,,,,,
1884,3,2,5.8,12,-0.5,,,,,,
1884,3,3,6.8,12,-0.5,,,,,,
1884,3,4,6.4,10.2,2.5,,,,,,
1884,3,5,4.4,10.2,-1.7,,,,,,
1884,3,6,4.8,13.2,-2.7,,,,,,
1884,3,7,7.1,13.2,-2.7,,,,,,
1884,3,8,7.1,10.7,1.8,,,,,,
1884,3,9,4.2,10.7,-1.3,,,,,,
1884,3,10,2,7.8,-2.2,,,,,,
1884,3,11,2.7,10.3,-4.8,,,,,,
1884,3,12,4.5,10.3,-4.8,,,,,,
1884,3,13,4.3,8.2,0.6,,,,,,
1884,3,14,3.7,8.2,-2.5,,,,,,
1884,3,15,4.5,11.8,-2.5,,,,,,
1884,3,16,5.5,11.8,-0.8,,,,,,
1884,3,17,6,9.7,-0.1,,,,,,
1884,3,18,5,9.7,0.6,,,,,,
1884,3,19,4,11.3,-2.3,,,,,,
1884,3,20,6.1,15.6,-2.3,,,,,,
1884,3,21,8.8,15.8,-1.8,,,,,,
1884,3,22,9.7,15.8,2.2,,,,,,
1884,3,23,9.2,14.4,2.2,,,,,,
1884,3,24,7.1,13.9,2.4,,,,,,
1884,3,25,5.1,12.2,-1.6,,,,,,
1884,3,26,5.5,12.2,-1.6,,,,,,
1884,3,27,7.9,16.7,0.2,,,,,,
1884,3,28,7.2,16.7,0.8,,,,,,
1884,3,29,4.4,11.2,-2.7,,,,,,
1884,3,30,4.3,11.7,-2.7,,,,,,
1884,3,31,4.4,11.7,-3.3,,,,,,
1884,4,1,5.9,10.1,-3.3,,,,,,
1884,4,2,5.9,10.1,1.4,,,,,,
1884,4,3,4.3,11.5,-3.7,,,,,,
1884,4,4,6.9,17.6,-3.7,,,,,,
1884,4,5,10.5,17.6,-0.8,,,,,,
1884,4,6,12.8,18.8,9.2,,,,,,
1884,4,7,12.1,18.8,7.7,,,,,,
1884,4,8,9.2,14.4,4.6,,,,,,
1884,4,9,7.7,14.4,0.2,,,,,,
1884,4,10,7.3,16.6,-1.8,,,,,,
1884,4,11,9.9,16.6,-1.8,,,,,,
1884,4,12,13.4,17.1,6.1,,,,,,
1884,4,13,14.6,19.3,10.4,,,,,,
1884,4,14,13.6,21.4,4.1,,,,,,
1884,4,15,14.1,22.8,4.1,,,,,,
1884,4,16,15.9,22.8,7.2,,,,,,
1884,4,17,15,22.3,9.4,,,,,,
1884,4,18,13.3,20.1,6.2,,,,,,
1884,4,19,12.9,20.4,4.9,,,,,,
1884,4,20,13.3,23.9,3.8,,,,,,
1884,4,21,14.9,23.9,3.8,,,,,,
1884,4,22,15.3,23.2,7.3,,,,,,
1884,4,23,12.3,18.9,6.9,,,,,,
1884,4,24,10.2,17.2,4.3,,,,,,
1884,4,25,12.6,22.4,4.3,,,,,,
1884,4,26,15.3,22.4,7.1,,,,,,
1884,4,27,14.9,22.2,10.1,,,,,,
1884,4,28,11.5,17.6,2.9,,,,,,
1884,4,29,9.7,16.7,1.5,,,,,,
1884,4,30,11.4,20.5,1.5,,,,,,
1885,1,1,0.6,8.4,-5.3,,,,,,
1885,1,2,1.2,8.4,-5.3,,,,,,
1885,1,3,1.1,5.8,-3.6,,,,,,
1885,1,4,0.7,6.2,-4.1,,,,,,
1885,1,5,1.5,9.6,-4.1,,,,,,
1885,1,6,2.4,10.3,-4.1,,,,,,
1885,1,7,1.6,10.3,-4.1,,,,,,
1885,1,8,1.5,6.8,-2.8,,,,,,
1885,1,9,1.9,6.8,-1.8,,,,,,
1885,1,10,1,5.6,-4.8,,,,,,
1885,1,11,1.3,5.6,-4.8,,,,,,
1885,1,12,1.1,4.4,-3.7,,,,,,
1885,1,13,-0.4,4.4,-4.2,,,,,,
1885,1,14,-1,3.6,-7.3,,,,,,
1885,1,15,0.1,4.6,-7.3,,,,,,
1885,1,16,0.7,5,-2.9,,,,,,
